问题（GPT风格，合成）,岗位,能力项,建议等级
遇到需要处理「结构化沟通与专业写作」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>结构化沟通与专业写作,B1
现在给你一周时间做「结构化沟通与专业写作」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>结构化沟通与专业写作,B1
如果出现异常/失败，围绕「结构化沟通与专业写作」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>结构化沟通与专业写作,B1
遇到需要处理「结构化沟通与专业写作」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>结构化沟通与专业写作,B1
当外部约束（如合规/性能/成本）冲突时，你会如何在「结构化沟通与专业写作」上达成平衡？请描述试验与评估方法。,通用,通用能力>结构化沟通与专业写作,B1
假设我们线上暴露了与「结构化沟通与专业写作」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>结构化沟通与专业写作,B1
如果你来负责这块工作，围绕「结构化沟通与专业写作」，你会怎么落地？先讲讲一页纸/SCQA，再说说复盘纪要，最后给出说服性表达与常见做法。,通用,通用能力>结构化沟通与专业写作,B1
遇到需要处理「结构化沟通与专业写作」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>结构化沟通与专业写作,B2
如果出现异常/失败，围绕「结构化沟通与专业写作」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>结构化沟通与专业写作,B2
假设我们线上暴露了与「结构化沟通与专业写作」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>结构化沟通与专业写作,B2
当外部约束（如合规/性能/成本）冲突时，你会如何在「结构化沟通与专业写作」上达成平衡？请描述试验与评估方法。,通用,通用能力>结构化沟通与专业写作,B2
当外部约束（如合规/性能/成本）冲突时，你会如何在「结构化沟通与专业写作」上达成平衡？请描述试验与评估方法。,通用,通用能力>结构化沟通与专业写作,B2
如果出现异常/失败，围绕「结构化沟通与专业写作」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>结构化沟通与专业写作,B2
假设我们线上暴露了与「结构化沟通与专业写作」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>结构化沟通与专业写作,B2
如果你来负责这块工作，围绕「结构化沟通与专业写作」，你会怎么落地？先讲讲一页纸/SCQA，再说说复盘纪要，最后给出说服性表达与指标与机制。,通用,通用能力>结构化沟通与专业写作,B3
请你把「结构化沟通与专业写作」讲给不熟悉该领域的同事听，要求：准确、可操作、并给一个最小可行示例。,通用,通用能力>结构化沟通与专业写作,B3
现在给你一周时间做「结构化沟通与专业写作」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>结构化沟通与专业写作,B3
如果出现异常/失败，围绕「结构化沟通与专业写作」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>结构化沟通与专业写作,B3
遇到需要处理「结构化沟通与专业写作」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>结构化沟通与专业写作,B3
请你把「结构化沟通与专业写作」讲给不熟悉该领域的同事听，要求：准确、可操作、并给一个最小可行示例。,通用,通用能力>结构化沟通与专业写作,B3
在多团队协作下推进「数据素养与度量意识」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>数据素养与度量意识,B1
假设我们线上暴露了与「数据素养与度量意识」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>数据素养与度量意识,B1
如果你来负责这块工作，围绕「数据素养与度量意识」，你会怎么落地？先讲讲指标口径，再说说显著性/置信区间，最后给出监控看板与常见做法。,通用,通用能力>数据素养与度量意识,B1
如果必须在两种做法中二选一来处理「数据素养与度量意识」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>数据素养与度量意识,B1
遇到需要处理「数据素养与度量意识」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>数据素养与度量意识,B1
遇到需要处理「数据素养与度量意识」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>数据素养与度量意识,B1
现在给你一周时间做「数据素养与度量意识」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>数据素养与度量意识,B1
假设我们线上暴露了与「数据素养与度量意识」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>数据素养与度量意识,B2
假设我们线上暴露了与「数据素养与度量意识」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>数据素养与度量意识,B2
遇到需要处理「数据素养与度量意识」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>数据素养与度量意识,B2
如果出现异常/失败，围绕「数据素养与度量意识」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>数据素养与度量意识,B2
遇到需要处理「数据素养与度量意识」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>数据素养与度量意识,B2
遇到需要处理「数据素养与度量意识」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>数据素养与度量意识,B2
现在给你一周时间做「数据素养与度量意识」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>数据素养与度量意识,B2
在多团队协作下推进「数据素养与度量意识」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>数据素养与度量意识,B3
在多团队协作下推进「数据素养与度量意识」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>数据素养与度量意识,B3
如果出现异常/失败，围绕「数据素养与度量意识」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>数据素养与度量意识,B3
现在给你一周时间做「数据素养与度量意识」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>数据素养与度量意识,B3
遇到需要处理「数据素养与度量意识」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>数据素养与度量意识,B3
结合你过往的项目，讲一个关于「数据素养与度量意识」的具体案例：你做了什么、为什么这么做、结果如何、还有什么会改进？,通用,通用能力>数据素养与度量意识,B3
如果出现异常/失败，围绕「问题分解与批判性思维」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>问题分解与批判性思维,B1
如果必须在两种做法中二选一来处理「问题分解与批判性思维」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>问题分解与批判性思维,B1
现在给你一周时间做「问题分解与批判性思维」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>问题分解与批判性思维,B1
当外部约束（如合规/性能/成本）冲突时，你会如何在「问题分解与批判性思维」上达成平衡？请描述试验与评估方法。,通用,通用能力>问题分解与批判性思维,B1
在多团队协作下推进「问题分解与批判性思维」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>问题分解与批判性思维,B1
如果出现异常/失败，围绕「问题分解与批判性思维」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>问题分解与批判性思维,B1
在多团队协作下推进「问题分解与批判性思维」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>问题分解与批判性思维,B1
现在给你一周时间做「问题分解与批判性思维」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>问题分解与批判性思维,B2
如果出现异常/失败，围绕「问题分解与批判性思维」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>问题分解与批判性思维,B2
在多团队协作下推进「问题分解与批判性思维」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>问题分解与批判性思维,B2
如果必须在两种做法中二选一来处理「问题分解与批判性思维」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>问题分解与批判性思维,B2
如果必须在两种做法中二选一来处理「问题分解与批判性思维」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>问题分解与批判性思维,B2
现在给你一周时间做「问题分解与批判性思维」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>问题分解与批判性思维,B2
如果出现异常/失败，围绕「问题分解与批判性思维」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>问题分解与批判性思维,B2
当外部约束（如合规/性能/成本）冲突时，你会如何在「问题分解与批判性思维」上达成平衡？请描述试验与评估方法。,通用,通用能力>问题分解与批判性思维,B3
现在给你一周时间做「问题分解与批判性思维」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>问题分解与批判性思维,B3
假设我们线上暴露了与「问题分解与批判性思维」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>问题分解与批判性思维,B3
假设我们线上暴露了与「问题分解与批判性思维」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>问题分解与批判性思维,B3
在多团队协作下推进「问题分解与批判性思维」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>问题分解与批判性思维,B3
结合你过往的项目，讲一个关于「问题分解与批判性思维」的具体案例：你做了什么、为什么这么做、结果如何、还有什么会改进？,通用,通用能力>问题分解与批判性思维,B3
如果必须在两种做法中二选一来处理「协同与项目节奏管理」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>协同与项目节奏管理,B1
如果你来负责这块工作，围绕「协同与项目节奏管理」，你会怎么落地？先讲讲RACI，再说说看板/里程碑，最后给出变更管理与基础概念。,通用,通用能力>协同与项目节奏管理,B1
结合你过往的项目，讲一个关于「协同与项目节奏管理」的具体案例：你做了什么、为什么这么做、结果如何、还有什么会改进？,通用,通用能力>协同与项目节奏管理,B1
结合你过往的项目，讲一个关于「协同与项目节奏管理」的具体案例：你做了什么、为什么这么做、结果如何、还有什么会改进？,通用,通用能力>协同与项目节奏管理,B1
请你把「协同与项目节奏管理」讲给不熟悉该领域的同事听，要求：准确、可操作、并给一个最小可行示例。,通用,通用能力>协同与项目节奏管理,B1
遇到需要处理「协同与项目节奏管理」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>协同与项目节奏管理,B1
请你把「协同与项目节奏管理」讲给不熟悉该领域的同事听，要求：准确、可操作、并给一个最小可行示例。,通用,通用能力>协同与项目节奏管理,B1
如果必须在两种做法中二选一来处理「协同与项目节奏管理」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>协同与项目节奏管理,B2
现在给你一周时间做「协同与项目节奏管理」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>协同与项目节奏管理,B2
如果你来负责这块工作，围绕「协同与项目节奏管理」，你会怎么落地？先讲讲RACI，再说说看板/里程碑，最后给出变更管理与验证方式。,通用,通用能力>协同与项目节奏管理,B2
遇到需要处理「协同与项目节奏管理」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>协同与项目节奏管理,B2
当外部约束（如合规/性能/成本）冲突时，你会如何在「协同与项目节奏管理」上达成平衡？请描述试验与评估方法。,通用,通用能力>协同与项目节奏管理,B2
在多团队协作下推进「协同与项目节奏管理」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>协同与项目节奏管理,B2
现在给你一周时间做「协同与项目节奏管理」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>协同与项目节奏管理,B2
结合你过往的项目，讲一个关于「协同与项目节奏管理」的具体案例：你做了什么、为什么这么做、结果如何、还有什么会改进？,通用,通用能力>协同与项目节奏管理,B3
如果你来负责这块工作，围绕「协同与项目节奏管理」，你会怎么落地？先讲讲RACI，再说说看板/里程碑，最后给出变更管理与指标与机制。,通用,通用能力>协同与项目节奏管理,B3
现在给你一周时间做「协同与项目节奏管理」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>协同与项目节奏管理,B3
结合你过往的项目，讲一个关于「协同与项目节奏管理」的具体案例：你做了什么、为什么这么做、结果如何、还有什么会改进？,通用,通用能力>协同与项目节奏管理,B3
遇到需要处理「协同与项目节奏管理」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>协同与项目节奏管理,B3
现在给你一周时间做「协同与项目节奏管理」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>协同与项目节奏管理,B3
当外部约束（如合规/性能/成本）冲突时，你会如何在「以用户为中心与可及性意识」上达成平衡？请描述试验与评估方法。,通用,通用能力>以用户为中心与可及性意识,B1
如果出现异常/失败，围绕「以用户为中心与可及性意识」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>以用户为中心与可及性意识,B1
在多团队协作下推进「以用户为中心与可及性意识」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>以用户为中心与可及性意识,B1
当外部约束（如合规/性能/成本）冲突时，你会如何在「以用户为中心与可及性意识」上达成平衡？请描述试验与评估方法。,通用,通用能力>以用户为中心与可及性意识,B1
如果你来负责这块工作，围绕「以用户为中心与可及性意识」，你会怎么落地？先讲讲可用性，再说说可及性/WCAG，最后给出用户证据与举例说明。,通用,通用能力>以用户为中心与可及性意识,B1
在多团队协作下推进「以用户为中心与可及性意识」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>以用户为中心与可及性意识,B1
如果你来负责这块工作，围绕「以用户为中心与可及性意识」，你会怎么落地？先讲讲可用性，再说说可及性/WCAG，最后给出用户证据与常见做法。,通用,通用能力>以用户为中心与可及性意识,B1
在多团队协作下推进「以用户为中心与可及性意识」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>以用户为中心与可及性意识,B2
如果出现异常/失败，围绕「以用户为中心与可及性意识」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>以用户为中心与可及性意识,B2
如果出现异常/失败，围绕「以用户为中心与可及性意识」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>以用户为中心与可及性意识,B2
遇到需要处理「以用户为中心与可及性意识」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>以用户为中心与可及性意识,B2
如果必须在两种做法中二选一来处理「以用户为中心与可及性意识」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>以用户为中心与可及性意识,B2
当外部约束（如合规/性能/成本）冲突时，你会如何在「以用户为中心与可及性意识」上达成平衡？请描述试验与评估方法。,通用,通用能力>以用户为中心与可及性意识,B2
结合你过往的项目，讲一个关于「以用户为中心与可及性意识」的具体案例：你做了什么、为什么这么做、结果如何、还有什么会改进？,通用,通用能力>以用户为中心与可及性意识,B2
如果必须在两种做法中二选一来处理「以用户为中心与可及性意识」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>以用户为中心与可及性意识,B3
结合你过往的项目，讲一个关于「以用户为中心与可及性意识」的具体案例：你做了什么、为什么这么做、结果如何、还有什么会改进？,通用,通用能力>以用户为中心与可及性意识,B3
当外部约束（如合规/性能/成本）冲突时，你会如何在「以用户为中心与可及性意识」上达成平衡？请描述试验与评估方法。,通用,通用能力>以用户为中心与可及性意识,B3
请你把「以用户为中心与可及性意识」讲给不熟悉该领域的同事听，要求：准确、可操作、并给一个最小可行示例。,通用,通用能力>以用户为中心与可及性意识,B3
当外部约束（如合规/性能/成本）冲突时，你会如何在「以用户为中心与可及性意识」上达成平衡？请描述试验与评估方法。,通用,通用能力>以用户为中心与可及性意识,B3
如果出现异常/失败，围绕「以用户为中心与可及性意识」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>以用户为中心与可及性意识,B3
现在给你一周时间做「伦理、隐私与合规基础」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>伦理、隐私与合规基础,B1
在多团队协作下推进「伦理、隐私与合规基础」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>伦理、隐私与合规基础,B1
当外部约束（如合规/性能/成本）冲突时，你会如何在「伦理、隐私与合规基础」上达成平衡？请描述试验与评估方法。,通用,通用能力>伦理、隐私与合规基础,B1
遇到需要处理「伦理、隐私与合规基础」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>伦理、隐私与合规基础,B1
如果出现异常/失败，围绕「伦理、隐私与合规基础」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>伦理、隐私与合规基础,B1
在多团队协作下推进「伦理、隐私与合规基础」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>伦理、隐私与合规基础,B1
假设我们线上暴露了与「伦理、隐私与合规基础」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>伦理、隐私与合规基础,B1
如果出现异常/失败，围绕「伦理、隐私与合规基础」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>伦理、隐私与合规基础,B2
如果出现异常/失败，围绕「伦理、隐私与合规基础」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>伦理、隐私与合规基础,B2
遇到需要处理「伦理、隐私与合规基础」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>伦理、隐私与合规基础,B2
如果你来负责这块工作，围绕「伦理、隐私与合规基础」，你会怎么落地？先讲讲最小化/目的限制，再说说DPIA/影响评估，最后给出审计追踪与验证方式。,通用,通用能力>伦理、隐私与合规基础,B2
遇到需要处理「伦理、隐私与合规基础」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>伦理、隐私与合规基础,B2
在多团队协作下推进「伦理、隐私与合规基础」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>伦理、隐私与合规基础,B2
当外部约束（如合规/性能/成本）冲突时，你会如何在「伦理、隐私与合规基础」上达成平衡？请描述试验与评估方法。,通用,通用能力>伦理、隐私与合规基础,B2
现在给你一周时间做「伦理、隐私与合规基础」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>伦理、隐私与合规基础,B3
如果必须在两种做法中二选一来处理「伦理、隐私与合规基础」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>伦理、隐私与合规基础,B3
当外部约束（如合规/性能/成本）冲突时，你会如何在「伦理、隐私与合规基础」上达成平衡？请描述试验与评估方法。,通用,通用能力>伦理、隐私与合规基础,B3
假设我们线上暴露了与「伦理、隐私与合规基础」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>伦理、隐私与合规基础,B3
如果必须在两种做法中二选一来处理「伦理、隐私与合规基础」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>伦理、隐私与合规基础,B3
如果必须在两种做法中二选一来处理「伦理、隐私与合规基础」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>伦理、隐私与合规基础,B3
如果出现异常/失败，围绕「数字工具与信息素养」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>数字工具与信息素养,B1
遇到需要处理「数字工具与信息素养」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>数字工具与信息素养,B1
请你把「数字工具与信息素养」讲给不熟悉该领域的同事听，要求：准确、可操作、并给一个最小可行示例。,通用,通用能力>数字工具与信息素养,B1
请你把「数字工具与信息素养」讲给不熟悉该领域的同事听，要求：准确、可操作、并给一个最小可行示例。,通用,通用能力>数字工具与信息素养,B1
如果必须在两种做法中二选一来处理「数字工具与信息素养」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>数字工具与信息素养,B1
如果你来负责这块工作，围绕「数字工具与信息素养」，你会怎么落地？先讲讲协同文档，再说说自动化模板，最后给出知识库与举例说明。,通用,通用能力>数字工具与信息素养,B1
遇到需要处理「数字工具与信息素养」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>数字工具与信息素养,B1
请你把「数字工具与信息素养」讲给不熟悉该领域的同事听，要求：准确、可操作、并给一个最小可行示例。,通用,通用能力>数字工具与信息素养,B2
在多团队协作下推进「数字工具与信息素养」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>数字工具与信息素养,B2
如果出现异常/失败，围绕「数字工具与信息素养」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>数字工具与信息素养,B2
如果出现异常/失败，围绕「数字工具与信息素养」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>数字工具与信息素养,B2
如果必须在两种做法中二选一来处理「数字工具与信息素养」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>数字工具与信息素养,B2
请你把「数字工具与信息素养」讲给不熟悉该领域的同事听，要求：准确、可操作、并给一个最小可行示例。,通用,通用能力>数字工具与信息素养,B2
现在给你一周时间做「数字工具与信息素养」专项优化，你会如何拆分任务、设置里程碑与衡量成功？,通用,通用能力>数字工具与信息素养,B2
如果出现异常/失败，围绕「数字工具与信息素养」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>数字工具与信息素养,B3
如果必须在两种做法中二选一来处理「数字工具与信息素养」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>数字工具与信息素养,B3
遇到需要处理「数字工具与信息素养」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>数字工具与信息素养,B3
当外部约束（如合规/性能/成本）冲突时，你会如何在「数字工具与信息素养」上达成平衡？请描述试验与评估方法。,通用,通用能力>数字工具与信息素养,B3
遇到需要处理「数字工具与信息素养」的真实场景时，你会如何决策？请说清楚背景、关键约束、可选方案与度量与复盘。,通用,通用能力>数字工具与信息素养,B3
结合你过往的项目，讲一个关于「数字工具与信息素养」的具体案例：你做了什么、为什么这么做、结果如何、还有什么会改进？,通用,通用能力>数字工具与信息素养,B3
如果必须在两种做法中二选一来处理「学习与复盘」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>学习与复盘,B1
如果出现异常/失败，围绕「学习与复盘」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>学习与复盘,B1
如果你来负责这块工作，围绕「学习与复盘」，你会怎么落地？先讲讲复盘模板，再说说改进闭环，最后给出经验沉淀与常见做法。,通用,通用能力>学习与复盘,B1
请你把「学习与复盘」讲给不熟悉该领域的同事听，要求：准确、可操作、并给一个最小可行示例。,通用,通用能力>学习与复盘,B1
请你把「学习与复盘」讲给不熟悉该领域的同事听，要求：准确、可操作、并给一个最小可行示例。,通用,通用能力>学习与复盘,B1
如果必须在两种做法中二选一来处理「学习与复盘」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>学习与复盘,B1
请你把「学习与复盘」讲给不熟悉该领域的同事听，要求：准确、可操作、并给一个最小可行示例。,通用,通用能力>学习与复盘,B1
当外部约束（如合规/性能/成本）冲突时，你会如何在「学习与复盘」上达成平衡？请描述试验与评估方法。,通用,通用能力>学习与复盘,B2
如果必须在两种做法中二选一来处理「学习与复盘」，你的取舍标准是什么？请用数据或准则说明。,通用,通用能力>学习与复盘,B2
如果出现异常/失败，围绕「学习与复盘」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>学习与复盘,B2
如果出现异常/失败，围绕「学习与复盘」你会如何排查与回滚？请说明触发条件、监控信号和演练频率。,通用,通用能力>学习与复盘,B2
假设我们线上暴露了与「学习与复盘」相关的隐患，你会如何组织一次快速复盘并固化改进？,通用,通用能力>学习与复盘,B2
当外部约束（如合规/性能/成本）冲突时，你会如何在「学习与复盘」上达成平衡？请描述试验与评估方法。,通用,通用能力>学习与复盘,B2
在多团队协作下推进「学习与复盘」时，你会如何对齐接口/口径并管理风险？请给出具体机制。,通用,通用能力>学习与复盘,B2
