题目来源：牛客网（近两年面试经验帖，仅供参考）,Unnamed: 1,Unnamed: 2
分类,问题,公司
1. JavaScript 基础,对闭包有什么了解,百度
,一个var变量提升的循环代码输出，如何修改？用let或者用立即执行函数,百度
,this指向代码题，说输出,百度
,原型、原型链,百度
,原型的代码题，说输出,百度
,判断数组的方法,百度
,js类型,百度
,null和undefined的区别,百度
,typeof null是什么，为什么,百度
,箭头函数和普通函数的区别,百度
,var let const之间有什么区别,百度
,promise的状态有哪些，有什么作用，为什么要有promise,百度
,async函数中如何捕获错误,百度
,基本数据类型,百度
,怎么判断数据类型,百度
,怎么判断是不是数组、是不是对象,百度
,Symbol是啥,百度
,循环有什么方法,百度
,map和forEach的区别,百度
,map的参数,百度
,this指向,百度
,原型链,百度
,函数的原型,百度
,对象的原型,百度
,ES6的特性有哪些？,拼多多
,Promise的使用方法是什么？,拼多多
,用JS实现React简易的弹窗组件，需要考虑蒙层。,拼多多
,async和defer的区别是什么？async一般会用在哪些业务场景上？,拼多多
,实现一个饼图的工具函数，传入浮点数数组，输出每个数字占饼图的百分比（整数），要求所有数百分之一百并且要变化的值应该是四舍五入方差最大的值。,拼多多
,axios设置多个拦截器，执行顺序（请求与响应不同）,美团
,js数据类型、数据类型的判断、存储位置,美团
,代码输出：经典var let setTimeout输出的那个,美团
,事件循环输出题,美团
,手写题：数组扁平化（要求使用reduce方法）,美团
,原型链：为什么要有原型链，它解决了什么问题,美团
,promise状态转换（简单）,美团
,JS单线程；事件循环；微任务有哪些；promise有哪些状态,美团
,数组去重（map方法和filter方法）；数组扁平化,美团
,简单的判断apply和bind输出什么,美团
,手撕promise.all,美团
,按需加载如何实现,美团
,假如构建出来的产物是常规的commonjs，怎么实现按需加载,美团
,手撕场景题：给一个列表，点击其中一项，输出点击的列表内容,美团
,事件流；想要在捕获阶段捕获怎么设置,美团
,闭包是什么？有什么缺点？,腾讯
,JS 数据类型有哪些？,腾讯
,如何判断 function？,腾讯
,实现 JSON.stringify（手撕）,腾讯
,v-if 和 v-for 的区别？,腾讯
,v-if 和 v-for 的实际实现？,腾讯
,Vue 2 和 Vue 3 的区别？,腾讯
,Pinia 的原理？,腾讯
,Vue 和 React 的区别？,腾讯
,闭包是什么以及缺点,腾讯
,闭包的实际应用场景（数据隐藏、函数柯里化、缓存、防抖节流）,字节
,reduce 实现 map,字节
,手写 MyPromise（支持 resolve/reject 延迟触发）,字节
,setTimeout 和 Promise.then 执行顺序,字节
,this 指向问题,字节
,事件循环（宏任务 vs 微任务）,字节
,JS 单线程 vs WebWorker,字节
,Proxy 数据劫持,字节
,new 实例化过程,字节
,动态 import 实现,字节
,预加载优化,字节
,js数据类型,字节
,原型链,字节
,class,字节
,typeof 和 instanceof的区别,字节
,为什么箭头函数不能new,字节
,closure在现实中有什么使用场景,字节
,promise 和 setTimeout的error handling,字节
,event loop,字节
,this、闭包、作用域,字节
,模版字符串,字节
,数组 reader,字节
,new是怎么创建实例的,字节
,this指向问题,字节
,this指向问题,阿里
,事件冒泡机制,阿里
,Promise的几种状态,阿里
,nextTick原理,阿里
,三个JS文件的执行顺序问题,阿里
,实现render渲染DOM,阿里
,对称二叉树判断,阿里
,拆分数字字符串添加千分位逗号,阿里
,提取字符串中括号内容,阿里
,int 有几个字节，为什么？,京东
,堆和栈的区别？,京东
,JS 数组和其他语言的区别？,京东
,如何判断变量是不是数组？,京东
,instanceof 的用法？,京东
,JS 函数是值传递还是引用传递？如何避免引用传递影响外部变量？,京东
,深拷贝的实现方法？,京东
,0.1 + 0.2 !== 0.3 的原因及如何避免？,京东
,宏任务和微任务有哪些？执行顺序？,京东
,闭包陷阱如何解决？（除 useRef 外的方法）,京东
,useMemo 和 useCallback 的区别及使用场景？,京东
,js里面怎么去实现切割字符串，有多少种方式,转转
2. CSS 基础,前端动画怎么实现,百度
,css选择器有哪些，优先级,百度
,如何隐藏元素，有什么区别,百度
,css定位，粘性定位,百度
,flex怎么设置居中,百度
,盒子模型,百度
,css 3D,百度
,CSS 盒子模型？,腾讯
,Flex 布局实际使用,字节
,盒模型机制,字节
,box-sizing 属性值及区别,字节
,绝对定位 vs 相对定位,字节
,position: sticky 实现滚动吸附,字节
,Canvas vs DOM/CSS 渲染优劣,字节
,三栏布局实现,阿里
,选择器优先级,阿里
,class冲突解决方法,阿里
,元素水平垂直居中,阿里
,浏览器常用图片格式及webp优势,阿里
,CSS 盒模型？,京东
,如何实现响应式布局？,京东
,CSS 如何优化性能？,京东
,css怎么去实现垂直居中,转转
,讲一下flex布局,转转
,css的transition有多少个属性,转转
,css的animation有多少个属性,转转
3. Web 开发流程,从输入url到页面加载出来发生了什么,百度
,DNS解析过程,百度
,常见的状态码,百度
,Vite和Webpack的区别是什么？React脚手架是什么？,拼多多
,Loader和Plugin用过哪些？分别说出它们的作用。,拼多多
,Code Split如何进行分包？有哪些方式？,拼多多
,公共模块分包会有什么提升？,拼多多
,开发效率与工程实践：AI 提升开发效率的具体场景；,美团
,懒加载和条件渲染策略优化的背景；,美团
,是否使用过 React、对 React 和 Vue3 的看法与对比；,美团
,对 Node.js 的了解；Webpack 使用经验；为什么使用状态管理（解决什么问题）；使用过 EventBus 吗？和 Pinia 的区别,美团
,性能优化：FCP优化；懒加载,美团
,组件库设计：主要聊了组件库的背景、设计思路（如可复用性、Props设计）和实现细节（如样式隔离、按需引入）,美团
,动态分包：结合Webpack的SplitChunksPlugin或路由懒加载实现按需加载,美团
,Tree Shaking：通过ES Module静态分析移除未使用代码，需注意副作用标记,美团
,webpack和vite构建，有没有自己配置过,美团
,webpack和vite配置为什么是在一个js文件,美团
,组件封装：判断页面级组件和应用级组件；封装应用级组件要注意什么；组件拓展要注意什么,美团
,Webpack 用过哪些插件？详细说一下？,腾讯
,怎么学习的前端？,腾讯
,怎么做的项目？,腾讯
,前端工程化性能优化,字节
,项目上线流程,字节
,组件库按需加载实现,字节
,Vite 打包依赖图分析,字节
,Tree Shaking 原理,字节
,Git 分支管理（rebase、合并提交）,字节
,模块规范（CommonJS/ESM）,字节
,Vite vs Webpack,字节
,Webpack 的 loader 和 plugin,字节
,Webpack 怎么处理模块循环引用？,字节
,Webpack 的构建流程优化,字节
,Vite和webpack,字节
,模块规范有了解吗，讲一下,字节
,webpack和vite原理,阿里
,nvm的作用和原理,阿里
,git常用指令,阿里
,axios二次封装内容,阿里
,axios中断请求原理,阿里
,发送ajax的方式,阿里
,react状态管理方式(除redux外),阿里
,react的useState在if分支中的问题,阿里
,跨端解决方案,阿里
,项目目录结构设计？,京东
,Vite 配置项（vite.config.js 常用配置）？,京东
,Vite 比 Webpack 的优势？,京东
,Vite 为什么启动快？热更新如何实现？,京东
,如何优化页面加载速度？,京东
,如何优化网络请求耗时？,京东
,浏览器调试工具（性能面板）的使用？,京东
,你怎么去灰度发布,转转
,代码上面怎么去做灰度,转转
4. 网络与协议,讲下http和https的区别,百度
,为什么要有https,百度
,对称加密和不对称加密区别,百度
,讲讲计算机网络七层模型,百度
,什么是表示层,百度
,邮件传输什么协议,百度
,tcp/ip扩展协议,百度
,讲讲ftp协议,百度
,tcp/ip是哪些协议的支持,百度
,跨域问题：A向B网站发起跨域请求，那么CORS的credentials应该在谁上面设置？携带的是谁的Cookie？,拼多多
,ws建立连接过程,美团
,http缓存机制,美团
,跨域：提到JSONP（原理是利用<script>,美团
,URL从输入到最终页面呈现过程发生了什么；DNS解析；浏览器解析于渲染,美团
,"tcp, udp",美团
,http状态码,美团
,302和304的区别,美团
,协商缓存和强缓存在客户端上怎么实现,美团
,OSI 七层模型？,腾讯
,DNS 解析过程？,腾讯
,UDP 和 TCP 的区别？,腾讯
,CDN 的作用？,腾讯
,XSS 攻击是什么？如何预防？,腾讯
,XSS 攻击检测方法有哪些？,腾讯
,CSRF 攻击是什么？如何解决？,腾讯
,Token 的作用？,腾讯
,跨域怎么处理？,腾讯
,XSS 和 CSRF 的理解以及解决方案,腾讯
,讲一下 token,腾讯
,跨域怎么处理,腾讯
,DNS 解析协议,字节
,应用层协议（HTTP/WebSocket/DNS）,字节
,TCP 三次握手（为什么需要三次）,字节
,WebSocket 断线重连 & 消息重发,字节
,跨域解决方案（代理、CORS）,字节
,讲一下https？,字节
,为什么https更安全,字节
,http怎么控制缓存,字节
,Dns解析涉及到的协议了解吗,字节
,应用层的协议有哪些了解吗,字节
,Udp了解吗,字节
,Tcp三次握手,字节
,为什么一定需要三次,字节
,计网分层协议及分层原因,阿里
,TCP和UDP区别,阿里
,TCP三次握手与四次挥手,阿里
,HTTP2.0与1.0区别,阿里
,HTTPS加密过程,阿里
,跨域产生原因及解决方案(包括youku.cn和taobao.cn案例),阿里
,VPN原理,阿里
,淘宝链接复制到QQ微信变乱码原理,阿里
,点开淘宝网址跳转京东的问题分析,阿里
,输入 URL 到页面显示的完整流程？,京东
,JS 执行是否会阻塞 HTML 渲染？,京东
,跨域问题及解决方案（前端本地开发如何处理）？,京东
,OPTION 请求的作用及触发时机？,京东
,HTTP 状态码（如 200、304、404 等）？,京东
,强缓存 vs 协商缓存？,京东
,Cookie vs localStorage/sessionStorage？,京东
,XSS 攻击及防御方法？,京东
5. 客户端,A activity跳转到B activity生命周期,百度
,B返回A生命周期,百度
,说说fragment,百度
,fragment生命周期和activity区别,百度
,fragment的attach方法调用,百度
,activity与fragment通信,百度
,安卓线程通信,百度
,讲讲handler机制（中间问了好多threadlocal原理）,百度
,handler.post和view.post区别,百度
,view绘制流程,百度
,事件分发方法,百度
,讲讲为什么有service,百度
,service生命周期,百度
,有几种广播,百度
,service和线程区别，为啥不用线程,字节
,浏览器渲染的过程,字节
,浏览器渲染 js是怎么解析的,字节
,中间解析到js浏览器会怎么办,字节
6. 项目经验,在触底加载问题有遇到什么问题吗,百度
,怎么判断它加载完了,百度
,自研的组件库是否有项目用到，具体如何实现，有些bug是如何解决的；对接大模型时是如何利用nextjs将markdown渲染器置于服务端的,百度
,项目与经验分享,百度
,说说实习项目,百度
,说说在国外的研究项目,百度
,项目经历，出于什么目的做的？,拼多多
,项目细节拷打，设计很多技术实现（省略）。,拼多多
,根据项目问了些对应的八股。,拼多多
,虚拟列表用JS具体怎么实现，要求写对应的监听函数和关键的监听变量。,拼多多
,页面性能优化有哪些方式？,拼多多
,项目中有挑战的点,美团
,项目功能怎么实现，为什么要这么做,美团
,设计思路，具体流程,美团
,介绍项目,美团
,请求数量限制,美团
,懒加载,美团
,点击热力图怎么做的,美团
,项目功能怎么实现，为什么要这么做,美团
,设计思路，具体流程,美团
,DOM,美团
,响应式数据,美团
,模块间通信,美团
,cookie,美团
,介绍项目,美团
,项目中有挑战的点,美团
,大文件上传有哪些成熟的方案,美团
,项目遇到的难点？,腾讯
,项目拷打（问得很细）,腾讯
,vue 和 react 的区别,腾讯
,项目遇到的难点,腾讯
,群聊/私聊实现 & 性能优化,字节
,心跳机制 & 降级策略,字节
,懒加载 & 虚拟列表（LCP 计算）,字节
,组件库技术选型（AST 解析 vs 字符串生成）,字节
,Canvas 绘制优化,字节
,状态机在项目中的应用,字节
,为什么选择 jotai？ not redux/zustand,字节
,怎么处理循环状态引用？,字节
,jotai 怎么实现状态改变，其他模块不 re-render？,字节
,怎么避免 ssr 水合闪烁？（高频）,字节
,Vue的更新的过程,字节
,Vue2和vue3区别,字节
,ref和reactive区别,字节
,ref.value的原理？,字节
,手撕batchFetch（思路）,字节
,项目中最有难度的点,阿里
,性能优化指标(LCP/FCP/TTI等),阿里
,项目中跨域实现方案,阿里
,AI项目为何不用大模型,阿里
,前端还能用来做什么,阿里
,前端发展趋势,阿里
,项目中解决的最复杂问题？,京东
,大模型交互（Prompt 工程）？,京东
,Vue 动态引入组件的方法？,京东
,React 项目中事件绑定的优化（事件委托）？,京东
,react 和 react-dom 的区别？能否只引入一个？,京东
,Vue 的依赖收集和更新原理？,京东
,Vue 3 弃用 filter 的原因？,京东
,react怎么去实现类似vue里keepalive的东西,转转
,你怎么去设计一个前端异常监控平台,转转
,你怎么去监控用户的行为路径并做记录,转转
,你怎么去封装一个公共请求,转转
,你重构后怎么去保证项目的可稳定性,转转
,你怎么去做一个公共的上传图片的组件,转转
7. 其他,有没有写过node,百度
,git pull是哪两个操作的融合,百度
,useEffect,百度
,有没有自定义hook，讲一下,百度
,自定义组件库的组件，比如更改组件库组件的主题,百度
,什么时候学的前端？,拼多多
,为什么不读研？,拼多多
,为什么转专业？之前在数学系学的东西对你现在有什么帮助吗？,拼多多
,为什么选择拼多多？,拼多多
,对AI的看法，AI agent,美团
,了解langchain吗,美团
,聊天，为什么学了前端，对基础知识的掌握程度怎么样,美团
,用过什么ai，编辑器用没用过,美团
,GitHub看过什么项目,美团
,vue的源码有没有看过,美团
,其他：什么时候学习前端；学过TS吗；学过React吗,美团
,AI问题：AI工具；大模型；AI协助哪些方面；大模型调优,美团
,数据结构：栈和队列的区别,美团
,实习项目技术难点,字节
,TS 泛型 & 基础类型,字节
,Vue 响应式原理（Vue2 vs Vue3）,字节
,ref vs reactive（ref.value 原理）,字节
,React 基础语法（对比 Vue）,字节
,浏览器存储（localStorage/sessionStorage/cookie）,字节
,进程 vs 线程,字节
,AI 对前端开发的影响,字节
,计算机相关课程偏好及原因,阿里
,学习前端的原因和路径,阿里
,最近学习内容及遇到的困难,阿里
,AI在学习生活中的应用,阿里
,大模型agent和token相关,阿里
,短期职业规划,阿里
,浏览器断网处理及缓存实现,阿里
,如何由子元素获取父元素,阿里
,学校课程学习情况？,京东
,Java 中的引用类型？,京东
,Node.js 为什么运行快？,京东
,React 虚拟 DOM 的作用？是否一定比直接操作 DOM 快？,京东
,Fiber 架构解决的问题？可中断渲染如何实现？,京东
,时间分片机制？为什么不用 requestIdleCallback？,京东
,为什么学前端以及未来规划,腾讯
8. 算法,合并有序链表,百度
,判断链表有环,百度
,约瑟夫环,百度
,写一个并发调度控制,美团
,给一个列表，点击其中一项，输出点击的列表内容,美团
,数组去重（map方法和filter方法）；数组扁平化,美团
,合并两个有序数组,美团
,删除链表倒数第n个结点,美团
,无序数组中第一个不重复的数,美团
,要求写出代码并分析时间复杂度（O(n)解法，哈希表优化）,美团
,顺时针打印矩阵,腾讯
,实现 JSON.stringify（尽量 10 分钟内完成）,腾讯
,顺时针打印矩阵,腾讯
,数组 append 方法（排除空值）,字节
,树状目录查找（递归遍历）,字节
,合并区间,字节
,扑克牌顺子判断,字节
,多叉树路径和等于 sum,字节
,版本号排序,字节
,最长回文子串,字节
,最长无重复子串,字节
,有效括号匹配,字节
,batchFetch 实现思路,字节
,100盏灯开关问题,阿里
,两数之和(哈希表应用),阿里
,实现render渲染DOM,阿里
,对称二叉树判断,阿里
,深拷贝实现,阿里
,100盏灯开关问题,阿里
,拆分数字字符串添加千分位逗号,阿里
,提取字符串中括号内容,阿里
,判断一个 number 是否是回文数？,京东
,手写 useState？,京东
,版本号排序？,京东
,数组中找出唯一出现三次的元素？,京东
,虚拟列表的实现？,京东
